,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
1725,0,0,,"[6045.072118916298, -7653.684707269684, -4972.808464578904, 1.2275343864255748, 1.7937870229917463, 4.140049538467549, 8.012568669273147, -4.451264312474402, 8.931225727190636, 3.8684310685401186, -5.301712482174839, 0.06118479998651161, -115446.0151211264, -32805.91414554318, -68168.36815162626]"
1726,"[array([ 416824.01479843, 7975712.57034557, 8182330.53893267]), array([ 416824.01479843, 7975712.57034557, 8182330.53893267])]","[array([-429.42071,    2.36927, -365.31758]), array([429.42071,  -2.36927, 365.31758])]",,"[7029.349165424144, -8303.954255288736, 7425.744283954718, 2.2990280939454784, 0.8314448306496615, 4.378523654609251, 9.148282434363296, 6.903669939569001, 0.3992646076800135, 10.029698700152682, -3.08194540435659, -6.070989564950179, 115920.92873350816, -83666.84520854194, -196818.61175455473]"
1727,"[array([399316.25440638, 137726.34608011, 262284.6094804 ])]","[array([-110.97308,  -39.33753, -107.778  ])]",,"[-2807.6827624265197, -4735.376021141205, -751.767354070882, 1.6056989606873342, 5.958914196144207, 2.33212113088731, -5.1769960341072245, 3.826579591420437, 11.516691641614877, 4.719084930978173, 2.6186273904640096, -12.50443475940585, 22464.342591467022, -90584.55834566694, -70335.83637479448]"
1728,0,0,,"[6886.699209581922, -3632.584800713741, 9879.995488922032, 5.77142731635717, 4.53913746614517, 5.898478633471569, 6.59659497928104, -7.6557406114696755, 3.001117862316695, -6.676548340762853, -10.47711987908864, 7.596380483901026, -123889.1429341822, 9381.63596886472, -383663.7889686142]"
1729,"[array([220350.52973145,  62361.84760668, 120977.62599907]), array([220350.52973145,  62361.84760668, 120977.62599907])]","[array([-48.22459,  43.71577, -25.48751]), array([ 48.22459, -43.71577,  25.48751])]",,"[1315.7630477159237, 4517.462731059393, -6053.142112499283, 1.5546529601152446, 2.5926613145846718, 5.177862338085754, 7.693520607782183, 3.5611288644407697, 11.83115036704536, 12.21007022131759, 1.8226764625415868, -1.1057535766068902, 91395.65781679473, 16350.425983655354, -35928.87953016959]"
1730,"[array([836077.75858466, 500503.16861617, 353313.76703081])]","[array([-123.76336,  -15.10946,  -98.54078])]",,"[-4333.427976427651, 413.3373731001284, -8040.763721008825, 2.2229014192831142, 3.0992782913931887, 5.776962544314123, 7.079613877808317, -5.192089982495062, 6.431615753290105, 7.4471781431812545, 2.8615456548600076, -3.0271776320455146, -23417.948949131867, -32191.793692778825, -269721.1826996766]"
1731,0,0,,"[-7011.305331549062, -3289.153945520551, 9848.018721000743, 5.624148552885137, 3.555472488827245, 0.7048443505842263, 11.204915212298964, -7.312426656397803, 2.893893336026716, -1.093865350247162, -9.451042185921112, -7.909278487818306, -70787.15806958306, -124488.33279009155, -151572.5300719244]"
1732,"[array([ 355004.1073354 , 1406357.31430189, 1462131.47991663])]","[array([-130.25929,  -12.27378, -274.70359])]",,"[7728.4995575956855, 4588.862349950397, 9787.120963610778, 4.965209770562351, 3.639693261913592, 0.3106845352484914, -5.484864083919147, 6.9297236478530415, 6.8980594652176705, -3.086391088520651, 4.625217722460935, -4.112883912470034, 72804.32778646197, -99132.94953202759, -353814.7314585566]"
1733,0,0,,"[-3801.535355673688, -2192.687498182184, 9751.522621882184, 2.7779498904414437, 1.045001174021114, 3.091759466319096, 8.898504636696423, -7.763192910360713, 2.6288513254255363, 11.325029017414842, -1.3806709507237613, 1.1458595831056932, -99503.7124294254, 142175.1060346075, -91772.61529313773]"
1734,0,0,,"[-8049.606742053615, 8194.550043092942, -631.2506266824821, 1.9614028644292003, 3.422997907888217, 0.8745977713199292, 1.800905530499909, 0.3014153295972921, -7.767636401059981, -2.9326929731118074, -9.489594637183586, -0.8649801038420861, 23650.115925339254, -46220.513690670734, -178912.62556944918]"
1735,0,0,,"[8219.746203322266, 2285.2035674185026, -8561.620000653591, 3.9355522574733603, 0.7700717703132844, 2.3291352393067153, -1.72969748211891, -7.15448440601493, 2.7825201382359417, 8.950648133268007, -4.927530087373354, -0.21357467097631577, -137656.18124475257, -14234.176617306774, -41931.51981342281]"
1736,0,0,,"[9705.338786770906, -3414.989169569267, -2144.4529195435425, 5.522839032559416, 3.362524215662459, 1.4884292589778922, -10.804522733448241, 4.256025587577382, -4.982189391276384, -7.953608731887946, 0.393698295013051, -8.547507304801641, 22519.723745511146, 139189.0595513138, -203679.2322529107]"
1737,0,0,,"[-6885.231060600851, -6898.865224418223, -7638.903326530842, 3.8209305711885, 5.781512727641413, 0.628803224969237, -1.4297952719558733, 2.949519543491201, -2.159411388535677, 4.216000552733043, 1.0676761661491874, -11.903460887952765, -140109.03883714895, 103340.40004090779, -313450.9176610391]"
1738,"[array([487782.52951321, 202460.32975136, 272209.81461932])]","[array([-98.34286, -67.72831, -84.48604])]",,"[-2952.05351811096, -6920.668888992917, -2865.005180340281, 0.949320557358961, 4.279148555873986, 1.6264129744928766, 1.8206802947139522, 9.732912606920987, 10.741105513744007, 5.428347263159377, -4.344346964824883, -7.205435875768745, -131365.2242505214, -95198.93791810817, -80476.35390218196]"
1739,"[array([764403.96307518, 201421.60135385, 391396.55726448])]","[array([-117.05897,  -65.85369, -186.5032 ])]",,"[-5706.057691759925, 9572.590640110648, -3143.1186792216677, 3.5359550334029475, 3.8081365493036405, 0.7258660094648314, -3.78525807012573, 6.851147079693121, -5.6170028304628, 11.228411729827386, -5.770891636291135, 4.823200833259925, -68317.42510817118, -72247.02264213568, -110544.50881848729]"
1740,0,0,,"[1328.3699641453004, -3778.2621155014276, 7831.354512911406, 3.390603197925024, 4.169640740770281, 0.9386579134139805, 6.502579345741925, -0.20011768162679022, 6.81898662215573, 5.559129720847192, -11.290026405482278, -12.331992449779907, 26254.480524231883, -95556.38692033867, -54020.18742831121]"
1741,0,0,,"[-8635.904756284324, 2801.372345214275, 199.51488282545142, 2.062073062405696, 3.6925554754738608, 0.6650756774446475, -7.269473743304905, 8.58736552792227, 3.8289762012181434, -4.317359396102029, 5.274234401886414, -7.86037931442911, 9466.50228655868, 13154.341925069544, -296448.40551819885]"
1742,0,0,,"[3773.323476971811, -9146.234023483596, -7724.5482173434875, 3.793949344265522, 0.9466837149110721, 1.2136545309641102, -9.534112738868357, 0.9118055982950359, 9.238731316150773, 3.8752352360688285, -2.7434232262683214, -9.03769588121041, 63311.433555549535, -116325.86672945402, -344989.9466580122]"
1743,"[array([7.62698206e+05, 3.19608233e+08, 3.29923866e+08]), array([7.62698206e+05, 3.19608233e+08, 3.29923866e+08])]","[array([-3.09049954e+03,  1.76706000e+00, -3.06475831e+03]), array([ 3.09049954e+03, -1.76706000e+00,  3.06475831e+03])]",,"[12.863680818247303, 6121.863903734242, 2166.982544179369, 2.0738981846378057, 5.134803949480498, 2.144571345472466, 6.594690757854998, 10.094049489020072, -5.208931747878676, -2.327159423094134, 3.1297512836687407, 1.0111860926987966, 39932.88176670499, 149957.20811702358, -379200.7843813431]"
1744,0,0,,"[-8683.268434868538, -9572.475955410318, 4536.12798929191, 0.5610410802210636, 5.470531724333177, 3.7389508910116755, 1.2208151384184358, 6.8174029285277395, -7.029895797050442, -4.2885842784815065, -9.081411753054608, -3.042113186664544, -61719.46549628278, -7991.565430090937, -274868.65015909134]"
1745,0,0,,"[-4948.6442111852, -2702.172250786394, 7155.523225432942, 0.44507701121156396, 0.2648360354490533, 2.2402154388734847, -8.427595388693874, -4.003063565354761, -6.3317944672678586, -1.9842283542179224, 3.3695061365770993, 0.5852787100048822, -138610.80282924787, -50380.69716186648, -98676.66949709179]"
1746,"[array([805470.72857646,  96847.13234316, 185301.50304174]), array([805470.72857646,  96847.13234316, 185301.50304174])]","[array([-104.67021,   57.37733, -121.20588]), array([104.67021, -57.37733, 121.20588])]",,"[1475.8979908940728, 3409.596907038598, 6364.2271468256495, 4.848244952316677, 0.5506018125484208, 2.864469472783226, 10.461873496836837, 7.769590275463733, -1.1380202423911578, -0.07074259953043516, -10.364982483977492, -3.8679112369357824, 125725.20272009214, -36683.54012988256, -53482.22720261442]"
1747,"[array([1.13790958e+08, 6.45625573e+05, 2.82425324e+07]), array([40191309.29046243,   230975.66017828, 10778507.62682959]), array([40191309.29046243,   230975.66017828, 10778507.62682959])]","[array([-1073.94408, -1199.6511 ,  -838.96725]), array([-636.60933,  713.95581, -512.67496]), array([ 636.60933, -713.95581,  512.67496])]",,"[-1651.1438362248155, 6779.476453941748, -7277.695510737774, 4.880378923895276, 5.536634761418621, 5.827175001776996, -2.3329270463223217, -6.788088328469814, 0.06836886678324561, -6.693456093379843, -0.9683148776211112, 2.7152364638535484, -129499.94342513286, -3979.512578430964, -398873.6513133433]"
1748,"[array([869657.5320268 , 464237.83336788, 334127.66227936])]","[array([ -78.63805, -128.04084, -149.70364])]",,"[-4370.600430339833, 5688.780639665676, -2308.8902104337803, 2.7250331319380474, 3.275622723195024, 1.9265509493142219, 8.230489325591947, -5.414332911469938, 0.7851554144609079, -1.361067586146584, 4.613775595317673, 0.14534196737572103, -129992.69031584081, -147684.9035455433, -69042.70650103153]"
1749,"[array([1032231.36403918,  556811.94820471,  190565.35586833]), array([1032231.36403918,  556811.94820471,  190565.35586833])]","[array([-121.69839,   57.00124, -102.74392]), array([121.69839, -57.00124, 102.74392])]",,"[-4767.359264859246, 7868.248026469533, -6342.9280401725955, 3.8770889435809632, 2.5220304497136063, 4.56070341177541, -3.7109009049317674, 8.874921626964774, 10.290217305456096, 2.2448676859256267, 5.19839668861378, -8.863621747657348, 82842.23086043302, 52078.84510039084, -261784.78267938166]"
1750,0,0,,"[-3645.0640148544508, 3353.076492019276, -5784.802274035254, 0.22609720759001536, 5.527584183335152, 5.474606888353214, -9.54712380918088, 5.293274840086999, 6.113309232260242, 3.5709686327471637, -0.448157122932793, -8.567478462644061, 78543.44572714478, -148578.32548260395, -119459.21028534241]"
1751,"[array([394847.1554241 , 205400.78610833,  93098.36333362]), array([394847.1554241 , 205400.78610833,  93098.36333362])]","[array([-83.13799, -76.86983,   2.38286]), array([83.13799, 76.86983, -2.38286])]",,"[-8113.413944117394, 6905.739527735321, -4869.581422770349, 2.1125649138429137, 4.478310454847663, 5.372411640605931, 2.153330498517896, 7.791081176814114, 4.16446515189571, -0.10320830442083384, -5.673179092075931, 3.817668982515851, -109108.7205539111, 77302.19017792013, -67311.38198555127]"
